Fact ID,Metric,Label,Value,Currency,Statement,Source Document,Page,Verification
"FACT-1","Revenue","Revenues from Contracts with Customers",84500000,"USD","INCOME_STATEMENT","SEC_10K_FY2025.pdf",42,"VERIFIED"
"FACT-2","CostOfGoodsSold","Cost of Products and Services Sold",52100000,"USD","INCOME_STATEMENT","SEC_10K_FY2025.pdf",42,"VERIFIED"
"FACT-3","GrossProfit","Gross Profit",32400000,"USD","INCOME_STATEMENT","SEC_10K_FY2025.pdf",42,"VERIFIED"
"FACT-4","OperatingIncome","Operating Profit (EBIT)",16800000,"USD","INCOME_STATEMENT","SEC_10K_FY2025.pdf",42,"VERIFIED"
"FACT-5","NetIncome","Net Income Attributable to Shareholders",12600000,"USD","INCOME_STATEMENT","SEC_10K_FY2025.pdf",43,"VERIFIED"
"FACT-6","CashAndCashEquivalents","Cash and Cash Equivalents",9200000,"USD","BALANCE_SHEET","SEC_10K_FY2025.pdf",44,"VERIFIED"
"FACT-7","AccountsReceivable","Trade Accounts Receivable, Net",11400000,"USD","BALANCE_SHEET","SEC_10K_FY2025.pdf",44,"VERIFIED"
"FACT-8","Inventories","Inventories, Finished Goods & Raw Materials",13400000,"USD","BALANCE_SHEET","SEC_10K_FY2025.pdf",44,"VERIFIED"
"FACT-9","PropertyPlantEquipmentNet","Property, Plant and Equipment, Net",14200000,"USD","BALANCE_SHEET","SEC_10K_FY2025.pdf",45,"VERIFIED"
"FACT-10","TotalAssets","Total Consolidated Assets",48200000,"USD","BALANCE_SHEET","SEC_10K_FY2025.pdf",44,"VERIFIED"
"FACT-11","AccountsPayable","Accounts Payable and Accrued Expenses",6600000,"USD","BALANCE_SHEET","SEC_10K_FY2025.pdf",44,"VERIFIED"
"FACT-12","LongTermDebt","Long-Term Notes and Borrowings",14800000,"USD","BALANCE_SHEET","SEC_10K_FY2025.pdf",44,"VERIFIED"
"FACT-13","TotalLiabilities","Total Consolidated Liabilities",21400000,"USD","BALANCE_SHEET","SEC_10K_FY2025.pdf",44,"VERIFIED"
"FACT-14","StockholdersEquity","Total Shareholders Equity",26800000,"USD","BALANCE_SHEET","SEC_10K_FY2025.pdf",45,"VERIFIED"
